Feature Name,Coeffecient
1,51.393010137555905
x0,-2.1162962540722106
x1,31.187942032364024
x0^2,0.1284268589245166
x0 x1,-1.971689658074507
x1^2,3.489445602015874
x0^3,-0.009585551446662642
x0^2 x1,0.17982801248684785
x0 x1^2,-0.7614840026314396
x1^3,0.6652019258131733
x0^4,0.00037408878175460404
x0^3 x1,-0.01547619439414416
x0^2 x1^2,0.10980784381969548
x0 x1^3,-0.23680962124736613
x1^4,0.13653866141124457
x0^5,-0.0001421024996776781
x0^4 x1,0.0030972179929914623
x0^3 x1^2,-0.02241055968985814
x0^2 x1^3,0.06717841487874239
x0 x1^4,-0.08809153843353305
x1^5,0.04018586342679471
x0^6,0.00024213813857854274
x0^5 x1,-0.0010929460111947975
x0^4 x1^2,0.008445816171409324
x0^3 x1^3,-0.033693139847624766
x0^2 x1^4,0.0674994087461681
x0 x1^5,-0.06682579728657968
x1^6,0.02677478369271123
x0^7,1.0305319432081017e-05
x0^6 x1,0.0002655473600235675
x0^5 x1^2,0.0006412708906004738
x0^4 x1^3,0.0009684992508381456
x0^3 x1^4,-0.01042182651465966
x0^2 x1^5,0.02131999236791284
x0 x1^6,-0.017275246371534814
x1^7,0.0035830511451346806
x0^8,-9.125258209218457e-05
x0^7 x1,0.00019694941160609703
x0^6 x1^2,-0.0002625936861384495
x0^5 x1^3,0.0022999054401372883
x0^4 x1^4,-0.009049206580253554
x0^3 x1^5,0.017284669232998012
x0^2 x1^6,-0.019789553639864992
x0 x1^7,0.014014577752232141
x1^8,-0.004941947192371256
x0^9,-4.5265207472036216e-05
x0^8 x1,-0.00014380000051676477
x0^7 x1^2,0.00021255175622869938
x0^6 x1^3,0.00046390123374091065
x0^5 x1^4,-0.0009365473178421172
x0^4 x1^5,-0.0013488995613422248
x0^3 x1^6,0.004780895434361037
x0^2 x1^7,-0.005441998895068113
x0 x1^8,0.002796099558334964
x1^9,-6.20077573408011e-05
x0^10,1.1708442834402977e-05
x0^9 x1,-5.328147499206981e-05
x0^8 x1^2,2.2063012904424252e-05
x0^7 x1^3,1.7271392728274103e-05
x0^6 x1^4,0.0006278756423985563
x0^5 x1^5,-0.0026933164273905204
x0^4 x1^6,0.005798068313035302
x0^3 x1^7,-0.0077786856659613195
x0^2 x1^8,0.006692139447233259
x0 x1^9,-0.0034989781114163833
x1^10,0.0008824674073395522
x0^11,1.1583009539688049e-05
x0^10 x1,5.7907850944936e-06
x0^9 x1^2,-7.89552200198178e-05
x0^8 x1^3,6.283425539220078e-05
x0^7 x1^4,8.702319666847686e-05
x0^6 x1^5,0.00010057332064720525
x0^5 x1^6,-0.0010292428769813093
x0^4 x1^7,0.002436171932773047
x0^3 x1^8,-0.0031246867925319977
x0^2 x1^9,0.0023377578953354913
x0 x1^10,-0.0009324709968945801
x1^11,9.330940517518194e-05
